installer_uniq,installer_closest,installer_counts,installer_counts_pct,installer_imputed
ereto,eeto,27,0.05%,others
govern,gover,27,0.05%,government
hwrc,cgrc,27,0.05%,others
un,in,27,0.05%,others
activemkm,activekmk,26,0.04%,others
besada,besado,26,0.04%,others
individuals,individual,26,0.04%,others
jika,jica,26,0.04%,others
mi,ai,26,0.04%,others
hans,chani,25,0.04%,others
ics,icf,25,0.04%,others
ifad,ad,25,0.04%,others
juinco,juineco,25,0.04%,others
kilwater,kiliwater,25,0.04%,others
serikali,selikali,25,0.04%,others
tanplantltd,finland,25,0.04%,others
tawasa,dawasa,25,0.04%,others
careinternational,planinternational,24,0.04%,others
cmsr,cast,24,0.04%,others
geotan,german,24,0.04%,others
kalitasi,kalitesi,24,0.04%,others
mileniamproject,kamataproject,24,0.04%,others
nyakilanganico,nyakilangani,24,0.04%,others
pet,act,24,0.04%,others
ridep,redep,24,0.04%,others
wo,co,24,0.04%,others
wwf,ww,24,0.04%,others
ce,c,23,0.04%,others
halmashauri,halmashauli,23,0.04%,others
ilct,elct,23,0.04%,others
korogwewaterworks,ardhiwaterwells,23,0.04%,others
kyashaenterpr,kyashaentrepr,23,0.04%,others
mtuwasa,muwasa,23,0.04%,others
ta,da,23,0.04%,others
tredep,redep,23,0.04%,others
vifafi,vifaf,23,0.04%,others
cosmo,commu,22,0.04%,others
fathe,luthe,22,0.04%,others
hydrotec,dydrotec,22,0.04%,others
ndandamissions,neemiamission,22,0.04%,others
rcchurchcefa,rcchurch,22,0.04%,others
sabodo,abd,22,0.04%,others
singidayetu,shingidayetu,22,0.04%,others
udcsema,sema,22,0.04%,others
bgm,ggm,21,0.04%,others
ciprogovernment,misrigovernment,21,0.04%,government
consutingengineer,consultingengineer,21,0.04%,others
jicks,jacks,21,0.04%,others
maswicompany,masucompany,21,0.04%,others
nora,norad,21,0.04%,others
savetherainusa,savetherain,21,0.04%,others
islamic,islam,20,0.03%,others
kadp,adp,20,0.03%,others
killfloracommunity,igololacommunity,20,0.03%,others
makondewaterpopulation,makondewatersupply,20,0.03%,others
sekeivillagecommunity,dadsvillagecommunity,20,0.03%,others
adp,ad,19,0.03%,others
cg,c,19,0.03%,others
kimkimconstruction,mkonconstruction,19,0.03%,others
kuamu,adam,19,0.03%,others
orien,green,19,0.03%,others
p,,19,0.03%,others
planint,panone,19,0.03%,others
rudep,redep,19,0.03%,others
sowasa,suwasa,19,0.03%,others
efg,ef,18,0.03%,others
idydc,idc,18,0.03%,others
majimugumu,majmugumu,18,0.03%,others
ministryofwater,finiwater,18,0.03%,others
naishuconstructioncoltd,nandraconstruction,18,0.03%,others
rotaryclub,roteryc,18,0.03%,others
chur,chuo,17,0.03%,others
citizenengine,chinese,17,0.03%,others
dads,dadis,17,0.03%,others
goldstar,goldmain,17,0.03%,others
mbunge,mzung,17,0.03%,others
mkuyu,makuru,17,0.03%,others
quwkwin,qukwin,17,0.03%,others
sumbaw,simba,17,0.03%,others
tanz,tanza,17,0.03%,others
tasafdmdd,tasaf,17,0.03%,others
ukilig,kilol,17,0.03%,others
bruder,rude,16,0.03%,others
finlandgovernment,villagegovernment,16,0.03%,government
grobalresourcealliance,globalresourceco,16,0.03%,others
isfgovernment,government,16,0.03%,government
livi,lei,16,0.03%,others
ruthe,luthe,16,0.03%,others
sda,da,16,0.03%,others
shule,chela,16,0.03%,others
ja,da,15,0.03%,others
mackd,jacks,15,0.03%,others
msf,bsf,15,0.03%,others
petcorporationltd,petcoporationltd,15,0.03%,others
regionalwater,regionwater,15,0.03%,others
tahea,kahema,15,0.03%,others
thei,theo,15,0.03%,others
tpptrustmoshi,robertmosi,15,0.03%,others
usembassy,usaembassy,15,0.03%,others
wfp,wdp,15,0.03%,others
ad,abd,14,0.02%,others
adpbusangi,napupanga,14,0.02%,others
fpct,act,14,0.02%,others
konoike,boni,14,0.02%,others
livingwaterinternational,careinternational,14,0.02%,others
maswi,hashi,14,0.02%,others
mw,dw,14,0.02%,others
nandraconstruction,mandiaconstruction,14,0.02%,others
olgilaivillagecommunity,oldadaivillagecommunity,14,0.02%,others
qwickwin,quickwins,14,0.02%,others
rcchurc,rcchurch,14,0.02%,others
rcchurchcentralgover,rcchurchbrother,14,0.02%,others
romanchurch,morovianchurch,14,0.02%,others
rw,dw,14,0.02%,rwe
sao,bao,14,0.02%,others
sialtd,lvaltd,14,0.02%,others
villag,villa,14,0.02%,others
benguka,buguba,13,0.02%,others
canop,cap,13,0.02%,others
districtcounci,districtcouncil,13,0.02%,local_govt
halmashauriyamanispatabora,halmashauriyamburu,13,0.02%,others
inter,inves,13,0.02%,others
isftacare,msftacare,13,0.02%,others
kiliflora,bilila,13,0.02%,others
mamad,mamaz,13,0.02%,others
mpang,mianz,13,0.02%,others
msftacare,isftacare,13,0.02%,others
mviwa,lvia,13,0.02%,others
phase,care,13,0.02%,others
rwsp,dwsp,13,0.02%,others
saxon,sao,13,0.02%,others
theisla,chela,13,0.02%,others
waterprojectmbawalachini,wateraidmajitech,13,0.02%,others
wouldbank,worldbank,13,0.02%,others
wsdp,asdp,13,0.02%,others
canadanatanzania,cartastanzania,12,0.02%,others
conce,concen,12,0.02%,others
consultant,semaconsultant,12,0.02%,others
cosmosengineering,makeengineering,12,0.02%,others
daldo,dardo,12,0.02%,others
dwr,dw,12,0.02%,others
ham,ha,12,0.02%,others
jeica,jaica,12,0.02%,others
lutheranchurch,anglicanchurch,12,0.02%,others
mosque,mosqure,12,0.02%,others
msikiti,msikit,12,0.02%,others
prf,pr,12,0.02%,others
rcc,rc,12,0.02%,others
runduman,rundaga,12,0.02%,others
secondary,sekondari,12,0.02%,others
unhcr,unicrf,12,0.02%,others
vill,villa,12,0.02%,others
worldvission,worldvision,12,0.02%,worldvision
ai,ac,11,0.02%,others
ardhiwaterwell,ardhiwaterwells,11,0.02%,others
consultantengineer,consultingengineer,11,0.02%,others
dak,da,11,0.02%,others
exaudmsambwa,adamkea,11,0.02%,others
karugendo,kalugendo,11,0.02%,others
mlappro,maro,11,0.02%,others
pidp,kidp,11,0.02%,others
songas,songa,11,0.02%,others
aic,ac,10,0.02%,others
atighbuildings,cfbuilders,10,0.02%,others
auwasa,kuwasa,10,0.02%,others
chinahenancontractor,chinahenanconstuction,10,0.02%,others
d,,10,0.02%,others
drmatomola,drmatobola,10,0.02%,others
gain,ai,10,0.02%,others
gwaseco,gwasco,10,0.02%,others
hapa,hpa,10,0.02%,others
idea,udea,10,0.02%,others
japan,hapa,10,0.02%,others
kkktdiocesyapare,kkktcanal,10,0.02%,kkkt
kmcl,jmc,10,0.02%,others
kwikwiz,qwickwin,10,0.02%,others
lamp,adp,10,0.02%,others
mamlakayamajingara,idarayamaji,10,0.02%,others
milenia,mileniam,10,0.02%,others
morovianchurch,romanchurch,10,0.02%,others
nice,aic,10,0.02%,others
redep,redap,10,0.02%,others
rips,lips,10,0.02%,others
romancathoricsame,romancatholic,10,0.02%,others
serikaliyakijiji,serikali,10,0.02%,others
sijm,si,10,0.02%,others
songa,songas,10,0.02%,others
sulemanidd,bemanda,10,0.02%,others
suwasa,auwasa,10,0.02%,others
tag,ta,10,0.02%,others
twesacommunity,rwecommunity,10,0.02%,others
villagegovernment,finlandgovernment,10,0.02%,government
actioncontrelafaim,actionaid,9,0.02%,others
activetankco,activetankcoltd,9,0.02%,others
adragovernment,tcrsgovernment,9,0.02%,government
aimgold,acord,9,0.02%,others
ampcontractor,ampcontract,9,0.02%,others
cartas,caltas,9,0.02%,others
cct,act,9,0.02%,others
china,mchina,9,0.02%,others
concerngovernment,centragovernment,9,0.02%,government
europeanunion,petropatrice,9,0.02%,others
germanymissionary,germanmissionsry,9,0.02%,others
healt,act,9,0.02%,others
idara,adra,9,0.02%,others
ikelawa,esawa,9,0.02%,others
kalagoenterprisescoltd,rilayowaterproject,9,0.02%,others
kalumbwa,kaembe,9,0.02%,others
kilwacompany,regwacompany,9,0.02%,others
ministryofwaterengineer,ministryofwater,9,0.02%,others
mlakico,maswico,9,0.02%,others
mzingaa,kinga,9,0.02%,others
no,co,9,0.02%,others
regionalwaterengineerarusha,regionalwater,9,0.02%,others
romancatholic,rccathoric,9,0.02%,others
romancatholicrulengediocese,romancathorickilomeni,9,0.02%,others
singidageneralsuppliesltd,bonitebottlesltd,9,0.02%,others
ubaloziwamarekani,dweubaloziwamarekani,9,0.02%,others
ubung,mbunge,9,0.02%,others
victoria,distri,9,0.02%,others
williamsondiamondltd,williamacles,9,0.02%,others
angrikana,anglikana,8,0.01%,others
belgiamgovernment,britishgovernment,8,0.01%,government
br,ar,8,0.01%,others
bulyahunlugoldmine,tulawakagoldmine,8,0.01%,others
contr,centr,8,0.01%,others
coun,counc,8,0.01%,others
council,counc,8,0.01%,local_govt
dadsvillagecommunity,tcrsvillagecommunity,8,0.01%,local_govt
duwas,auwasa,8,0.01%,others
germany,german,8,0.01%,others
iec,idc,8,0.01%,others
institution,insititutiona,8,0.01%,others
mdalacontractor,mwakicontractor,8,0.01%,others
moroil,morovi,8,0.01%,others
pci,ac,8,0.01%,others
pitcooperationltd,petcoporationltd,8,0.01%,others
rcmission,mission,8,0.01%,others
redeso,redep,8,0.01%,others
rhoda,oda,8,0.01%,others
romancathorickilomeni,romancathoricsame,8,0.01%,others
saxonbuildingcontractor,saxonbuildingcontractors,8,0.01%,others
tltc,tlc,8,0.01%,others
village,villag,8,0.01%,others
villagegovt,village,8,0.01%,others
wua,sua,8,0.01%,others
baric,aic,7,0.01%,others
cosmosengltd,communit,7,0.01%,others
dct,act,7,0.01%,others
drmatobola,drmatomola,7,0.01%,others
el,dl,7,0.01%,others
kanisa,danida,7,0.01%,others
kigomamunicipal,municipal,7,0.01%,others
ktac,ac,7,0.01%,others
lawatefukawatersu,lawatefukawatersup,7,0.01%,others
lvaltd,sialtd,7,0.01%,others
mackdonaldcontractor,mackdonaldcontrsctor,7,0.01%,others
makonde,makoye,7,0.01%,others
mianz,miab,7,0.01%,others
mileniam,milenia,7,0.01%,others
ms,is,7,0.01%,others
mws,ms,7,0.01%,others
rude,rudep,7,0.01%,others
sangeadistrictcoun,songeadistrictcoun,7,0.01%,others
sauwasa,auwasa,7,0.01%,others
savetherain,savetherainusa,7,0.01%,others
semacoltd,altaicoltd,7,0.01%,others
simbaco,simba,7,0.01%,others
summitforwatercommunity,sekeivillagecommunity,7,0.01%,others
villagecouncilorpha,villagecounciloda,7,0.01%,local_govt
adb,ad,6,0.01%,others
africa,africam,6,0.01%,others
africandevelopmentfoundation,africanreflectionsfoundation,6,0.01%,others
ampcontract,ampcontracts,6,0.01%,others
ampcontracts,ampcontract,6,0.01%,others
anglicanchurch,anglicachurch,6,0.01%,others
centalgovernment,centralgovernment,6,0.01%,government
ciprocaretcrs,ciprocare,6,0.01%,tcrs
clauseworkers,nasanworkers,6,0.01%,others
dardo,daldo,6,0.01%,others
dasip,dasp,6,0.01%,others
islam,islamic,6,0.01%,others
kimkum,kumkum,6,0.01%,others
lench,centr,6,0.01%,others
majiblock,majitech,6,0.01%,others
manyaraconstruction,makamaconstruction,6,0.01%,others
mboma,miomb,6,0.01%,others
mida,cida,6,0.01%,others
muslims,mkulima,6,0.01%,others
mzungupaul,mzungu,6,0.01%,others
nanracontractor,ampcontractor,6,0.01%,others
re,ce,6,0.01%,others
sanjewa,hanja,6,0.01%,others
scott,acord,6,0.01%,others
secondaryschool,mbozisecondaryschool,6,0.01%,others
shuwasa,sauwasa,6,0.01%,others
songeadistrictcoun,sangeadistrictcoun,6,0.01%,others
villager,village,6,0.01%,others
wanjoda,danda,6,0.01%,others
wedecowessons,wedeco,6,0.01%,others
yumbakaengineering,makeengineering,6,0.01%,others
amboniplantation,bingofoundation,5,0.01%,others
atlascompany,kilwacompany,5,0.01%,others
bffs,bgss,5,0.01%,others
bilila,villa,5,0.01%,others
biore,acord,5,0.01%,others
cebtralgovernment,centralgovernment,5,0.01%,government
chiko,china,5,0.01%,others
church,churc,5,0.01%,others
consultantanddwe,consultant,5,0.01%,dwe
counc,coun,5,0.01%,local_govt
cpro,cipro,5,0.01%,others
cspd,cap,5,0.01%,others
dbspe,dbfpe,5,0.01%,others
deskc,deska,5,0.01%,others
ea,da,5,0.01%,others
elct,elca,5,0.01%,others
gaica,jaica,5,0.01%,others
gidacontractor,lindicontractor,5,0.01%,others
governme,governmen,5,0.01%,government
greec,green,5,0.01%,others
idc,iec,5,0.01%,others
jeshilawokovu,jeshilawokovucida,5,0.01%,others
jlhcoltd,jhlcoltd,5,0.01%,others
kanisakatoliki,kanisalatag,5,0.01%,others
kashwa,hasawa,5,0.01%,others
kinapa,kinga,5,0.01%,others
kirdep,kidp,5,0.01%,others
kktc,kkt,5,0.01%,kkkt
linda,cida,5,0.01%,others
localtechnicaltec,localtechnical,5,0.01%,others
luthe,ruthe,5,0.01%,others
makamaconstruction,mandiaconstruction,5,0.01%,others
masjid,maswi,5,0.01%,others
maswidrill,maswidrilling,5,0.01%,others
mem,mgm,5,0.01%,others
mgm,bgm,5,0.01%,others
mombourbanwaters,mombourbanwater,5,0.01%,others
musa,muwsa,5,0.01%,others
obc,abd,5,0.01%,others
oikoseafrika,oikoseafrica,5,0.01%,others
pata,kata,5,0.01%,others
planinternational,planinternationa,5,0.01%,others
rished,misheni,5,0.01%,others
rundaga,mungaya,5,0.01%,others
stph,sdp,5,0.01%,others
tabraki,taasi,5,0.01%,others
tanap,tanapa,5,0.01%,others
tanzania,tanapa,5,0.01%,others
tassaftcrs,tasaftlc,5,0.01%,tcrs
tcrscare,africare,5,0.01%,tcrs
tcrstlc,tcrs,5,0.01%,tcrs
tcrstwesa,icftwesa,5,0.01%,tcrs
tnkarugendo,karugendo,5,0.01%,others
trachoma,chacha,5,0.01%,others
tridep,ridep,5,0.01%,others
trust,cast,5,0.01%,others
tulawakagoldmine,bulyahunlugoldmine,5,0.01%,others
tumainifund,grumetifund,5,0.01%,others
victoriacompany,kilwacompany,5,0.01%,others
victoriadrillco,victoriadrill,5,0.01%,others
wasso,gwasco,5,0.01%,others
wcs,ics,5,0.01%,others
we,ce,5,0.01%,others
aar,ar,4,0.01%,others
adap,adam,4,0.01%,others
atisan,arisan,4,0.01%,others
australia,ustawi,4,0.01%,others
bridgenorth,bruder,4,0.01%,others
caltas,caltus,4,0.01%,others
caltus,caltas,4,0.01%,others
cartastanzania,canadanatanzania,4,0.01%,others
cast,act,4,0.01%,others
concen,conce,4,0.01%,others
dee,de,4,0.01%,others
dioceseofgeita,oikoseafrica,4,0.01%,others
efam,efarm,4,0.01%,others
freepentecostechurchoftanz,pentecostchurch,4,0.01%,others
geochaina,china,4,0.01%,others
grumetisingita,gurumetisagita,4,0.01%,others
hiap,adap,4,0.01%,others
howardandhumfreyconsultant,howardandhumfreyconsultants,4,0.01%,others
in,ir,4,0.01%,others
individual,individuals,4,0.01%,others
ireveasister,greinaker,4,0.01%,others
issacmollel,samwel,4,0.01%,others
jaicaco,jaica,4,0.01%,others
juin,gain,4,0.01%,others
kk,k,4,0.01%,others
koica,gaica,4,0.01%,others
kowi,cowi,4,0.01%,others
localfundi,local,4,0.01%,others
localltechnician,localtechnician,4,0.01%,others
loliondoparish,kilimarondoparish,4,0.01%,others
longidosecschool,mwlnyereresecschool,4,0.01%,others
losakiawatersuppl,losakiawatersupply,4,0.01%,others
maendeleoyajamii,twesajamii,4,0.01%,others
majitech,carmatech,4,0.01%,others
majitechconstruction,makamaconstruction,4,0.01%,others
makondewatersupply,holiliwatersupply,4,0.01%,others
marti,amari,4,0.01%,others
mbozidistrictcouncil,mbuludistrictcouncil,4,0.01%,local_govt
mombourbanwater,mombourbanwaters,4,0.01%,others
msikit,msiki,4,0.01%,others
mwangatownwaterauthority,waterauthority,4,0.01%,others
nyamongogoldmining,mmggoldmine,4,0.01%,others
ola,oda,4,0.01%,others
oldonyolengai,olomoloki,4,0.01%,others
patuu,pata,4,0.01%,others
peoplep,george,4,0.01%,others
quickwinproject,mileniamproject,4,0.01%,others
romanca,roman,4,0.01%,others
ruangwacontractor,nanracontractor,4,0.01%,others
ruralwatersupply,holiliwatersupply,4,0.01%,others
salehzaharani,caltazkahama,4,0.01%,others
school,schoo,4,0.01%,others
serengetidistrictconcil,mbozidistrictcouncil,4,0.01%,others
t,,4,0.01%,others
taboramunicipalcouncil,municipalcouncil,4,0.01%,local_govt
tanzakesho,tanesco,4,0.01%,others
tanzaniangovernment,tanzaniagovernment,4,0.01%,government
tanzegypttechnicalcoopera,tanzaniaegypttechnicalcoop,4,0.01%,others
tcrskibondo,sabodo,4,0.01%,tcrs
tgts,tgt,4,0.01%,others
totolandcare,totallandcare,4,0.01%,others
uhaiwamamanamtoto,hamismakombo,4,0.01%,others
umojadrilling,maswidrilling,4,0.01%,others
unknown,notknown,4,0.01%,others
unone,panone,4,0.01%,others
villagecounil,villagecouncil,4,0.01%,others
vttp,tmp,4,0.01%,others
wassocompanies,masucompany,4,0.01%,others
waterdepartment,regionwaterdepartment,4,0.01%,others
wd,ad,4,0.01%,others
worldbanks,worldbank,4,0.01%,others
zachariamtn,arrian,4,0.01%,others
acord,accra,3,0.01%,others
africaislamicagencytanzania,islamicagencytanzania,3,0.01%,others
ardhiinstute,dhinu,3,0.01%,others
belgij,engin,3,0.01%,others
bobby,boazi,3,0.01%,others
britishcolonialgovernment,colonialgovernment,3,0.01%,government
buguba,buruba,3,0.01%,others
buildingworkscompanyltd,buildingworksengineeringltd,3,0.01%,others
caritas,cartas,3,0.01%,others
cheni,chani,3,0.01%,others
ciprocare,africare,3,0.01%,others
cjejow,cjej0,3,0.01%,others
cobashec,camartec,3,0.01%,others
colonialgovernment,centalgovernment,3,0.01%,government
dbfpe,dbspe,3,0.01%,others
dhinu,china,3,0.01%,others
diwani,chani,3,0.01%,others
eliza,elina,3,0.01%,others
engin,ongan,3,0.01%,others
enyueti,enyuati,3,0.01%,others
f,,3,0.01%,others
floresta,bahresa,3,0.01%,others
furahiatrading,britain,3,0.01%,others
gachumaginery,athumaniissa,3,0.01%,others
geitagoldmain,goldmain,3,0.01%,others
goverm,gover,3,0.01%,government
gra,bra,3,0.01%,others
greinaker,greineker,3,0.01%,others
ha,da,3,0.01%,others
halmashauli,halimashauli,3,0.01%,others
halmashauriquickwinproject,quickwinproject,3,0.01%,others
halmashauriyamburu,halmashauriyawilaya,3,0.01%,others
halmashauriyawilaya,halmashauriwilaya,3,0.01%,others
hindu,dhinu,3,0.01%,others
hospi,hashi,3,0.01%,others
hydomluthelani,lutheran,3,0.01%,others
ifakara,idara,3,0.01%,others
indi,india,3,0.01%,others
inves,inter,3,0.01%,others
italygovernment,italiangovernment,3,0.01%,government
japanembassy,usaembassy,3,0.01%,others
kaembe,kaem,3,0.01%,others
kaluwike,kalumbwa,3,0.01%,others
kerebuka,benguka,3,0.01%,others
kibahatowncouncil,villagecouncil,3,0.01%,local_govt
kmt,kkt,3,0.01%,kkkt
kobergcontractor,mremicontractor,3,0.01%,others
kyashaentrepr,kyashaenterpr,3,0.01%,others
l,,3,0.01%,others
lgcdg,cdt,3,0.01%,others
lindalaco,linda,3,0.01%,others
lions,cons,3,0.01%,others
lutheran,luthe,3,0.01%,others
makeengineering,yumbakaengineering,3,0.01%,others
maswidrilling,maswidrill,3,0.01%,others
maziinvestment,misrigovernment,3,0.01%,government
mchome,makoye,3,0.01%,others
mchuk,chuo,3,0.01%,others
mhkapuya,hapa,3,0.01%,others
milenium,mileniam,3,0.01%,others
minjingu,inkinda,3,0.01%,others
miomb,mboma,3,0.01%,others
mtuwasaandcommunity,tasafandcomunity,3,0.01%,others
mwakicontractor,mwakicontracto,3,0.01%,others
nassorfehed,acord,3,0.01%,others
ndukuvillage,subvillage,3,0.01%,others
ng,cg,3,0.01%,others
ngiresivillagecommunity,olgilaivillagecommunity,3,0.01%,others
ns,is,3,0.01%,others
nyakilanganiconstruction,makamaconstruction,3,0.01%,others
oikos,aixos,3,0.01%,others
oldadaivillagecommunity,olgilaivillagecommunity,3,0.01%,others
pad,ad,3,0.01%,others
part,aar,3,0.01%,others
plantanzania,tanzania,3,0.01%,others
presadom,besado,3,0.01%,others
quik,juin,3,0.01%,others
rccathoric,cathoric,3,0.01%,others
rombodalta,rombodelta,3,0.01%,others
rotte,rotar,3,0.01%,others
rural,acra,3,0.01%,others
ruraldrinkingwatersupply,ruraldrinkungwatersupply,3,0.01%,others
ruvumabasin,abasia,3,0.01%,others
sacso,sao,3,0.01%,others
selousg,caltus,3,0.01%,others
sida,cida,3,0.01%,others
simavi,amadi,3,0.01%,others
singasinga,inkinda,3,0.01%,others
stampers,stgasper,3,0.01%,others
sw,dw,3,0.01%,others
tagchurch,church,3,0.01%,others
tanas,tanap,3,0.01%,others
tanesco,dawasco,3,0.01%,others
tanroad,tanload,3,0.01%,others
tcrsgovernment,adragovernment,3,0.01%,government
tpp,tmp,3,0.01%,others
ungan,ongan,3,0.01%,others
